,CareProvider.Integrity.Data,CareProvider.Integrity.Relation,CareProvider.Integrity.Knowledge,PointOfDecision.Display.Human,PointOfDecision.Display.Machine,PointOfDecision.Control.Human,PointOfDecision.Control.Machine,PointOfCare.Sensor.Human,PointOfCare.Sensor.Machine,PointOfCare.Actuator.Human,PointOfCare.Actuator.Machine,MDDS,EMR.Usability.Operability,EMR.Usability.Knowability,EMR.Availibility.Reliability,EMR.Availibility.FaultTolerence,EMR.Integrity.Physical,EMR.Integrity.Data,EMR.Integrity.Relation,EMR.Integrity.Knowledge,HealthCareProcess.Controller.Capital,HealthCareProcess.Controller.Responsiveness,HealthCareProcess.Controller.ClinicalIntegrity,HealthCareProcess.Sensor,HealthCareProcess.Display,HealthCareProcess.Actuator,HealthCareProcess.Control,TechnicalProcess.Controller.Capital,TechnicalProcess.Controller.Responsiveness,TechnicalProcess.Controller.TechnicalIntegrity,TechnicalProcess.Sensor,TechnicalProcess.Actuator
3149555,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1373210,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,1
1365323,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,
880624,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1750829,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,
954643,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
927860,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1
1474582,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,
1666385,,,,2,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
911156,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
2854922,,,,,1,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,
1544756,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1657877,,,,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,
888215,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
938508,,,,,1,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,
2190742,,,,2,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
765201,,,,,,,,,,1,,,,,,,,,,1,,,1,,,1,,,,,,
2163545,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
3354787,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
2265468,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
663423,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
1753065,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
1349104,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
1486241,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
2529835,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1
1845011,,,,,,,1,,,,,1,,,1,,,1,,,,,,1,,1,,,,1,,1
2530877,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
1840232,,,,,,,1,,,1,,1,1,1,,,,,,1,,,,,,,,,,,,
834678,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2585131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
1744439,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
3339297,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,
1759847,,,,,,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,
1160913,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
911160,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,
1812602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
766883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
1712727,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
1357884,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,
926163,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,1,,,,1,,1
954652,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
936309,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
1310518,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,1
1150091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
1577749,,,,2,1,,,,,1,,,,1,,,,,,1,,,1,1,,,,,,,,
2528592,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
998064,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
1648207,,,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,
1386659,,,,,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,
2661524,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,
752167,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
1547765,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
920819,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1669413,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
2893645,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1413879,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,
1843551,,,,2,2,,,,1,,,,1,,,,,,,,1,,,1,,,,,,,,
1942517,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
3502101,,,,,,,1,,,1,,,,1,,,,,,1,,,,,,,,,,,,
1032073,2,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
1845000,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
1029070,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
1686631,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1
1000349,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
